EdLevel,YearsCodePro,LanguageWorkedWith,DevType,ConvertedComp,Employment
"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",25,Assembly;Bash/Shell/PowerShell;C;C++;C#;HTML/CSS;Java;Python,"Developer, back-end",87789,Employed full-time
Some college/university study without earning a degree,18,Bash/Shell/PowerShell;C;C#;HTML/CSS;Java;Kotlin;Python;SQL,"Developer, full-stack",57254,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",37,Bash/Shell/PowerShell;Clojure;Dart;Elixir;Go;HTML/CSS;Java;JavaScript;Kotlin;Python;SQL;TypeScript;Other(s):,Database administrator,172,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",3,Bash/Shell/PowerShell;C;C++;JavaScript;Python,"Developer, embedded applications or devices",53437,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",3,HTML/CSS;Java;JavaScript;SQL;TypeScript,"Developer, front-end",1908,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",7,Bash/Shell/PowerShell;C++;JavaScript;Python,"Developer, embedded applications or devices",85499,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",3,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;PHP;SQL,Engineering manager,50388,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",13,Bash/Shell/PowerShell;C++;C#;HTML/CSS;Java;JavaScript;PHP;SQL;TypeScript;VBA,"Developer, full-stack",54200,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",13,Bash/Shell/PowerShell;HTML/CSS;JavaScript;SQL,"Developer, full-stack",80155,Employed full-time
"Master’s degree (MA, MS, M.Eng., MBA, etc.)",21,Assembly;Bash/Shell/PowerShell;C;C++;C#;HTML/CSS;Java;JavaScript;Objective-C;SQL;TypeScript,"Developer, full-stack",91606,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",14,C#;HTML/CSS;JavaScript;Python;SQL,"Developer, full-stack",64888,Employed full-time
"Master’s degree (MA, MS, M.Eng., MBA, etc.)",5,HTML/CSS;Java;JavaScript;TypeScript,"Developer, back-end",45803,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",10,C#;Elixir;HTML/CSS;JavaScript,"Developer, full-stack",86263,Employed full-time
"Master’s degree (MA, MS, M.Eng., MBA, etc.)",38,Assembly;Bash/Shell/PowerShell;C;C++;Clojure;HTML/CSS;Java;JavaScript;Kotlin;Python;Ruby,Designer,251917,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",19,Java;SQL,"Developer, QA or test",64888,Employed full-time
Associate degree,12,Assembly;Bash/Shell/PowerShell,System administrator,68705,Employed full-time
"Master’s degree (MA, MS, M.Eng., MBA, etc.)",15,Bash/Shell/PowerShell;C#;JavaScript;SQL,"Developer, back-end",83972,Employed full-time
Some college/university study without earning a degree,24,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;Ruby;SQL;TypeScript;WebAssembly,"Developer, desktop or enterprise applications",99240,Employed full-time
Associate degree,2,JavaScript;TypeScript,"Developer, full-stack",40459,Employed full-time
Some college/university study without earning a degree,17,Bash/Shell/PowerShell;Clojure;HTML/CSS;JavaScript;Ruby;SQL;Other(s):,Senior executive/VP,61071,Employed full-time
"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",10,Bash/Shell/PowerShell;HTML/CSS;JavaScript;Python;TypeScript,"Developer, embedded applications or devices",72522,Employed full-time
"Master’s degree (MA, MS, M.Eng., MBA, etc.)",18,Bash/Shell/PowerShell;HTML/CSS;JavaScript;Python;SQL,"Developer, back-end",91606,Employed full-time
Associate degree,5,Go;HTML/CSS;JavaScript;Python;Other(s):,"Developer, full-stack",61071,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",14,Bash/Shell/PowerShell;C;C++;HTML/CSS;Java;JavaScript;Kotlin;Objective-C;SQL;Swift,DevOps specialist,125959,Employed full-time
"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",32,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;SQL;Other(s):,System administrator,114508,Employed full-time
Some college/university study without earning a degree,10,Bash/Shell/PowerShell;C;C#;Go;HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,"Developer, embedded applications or devices",49620,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",6,Bash/Shell/PowerShell;C#;HTML/CSS;Java;JavaScript;Objective-C;SQL,Product manager,45803,Employed full-time
"Master’s degree (MA, MS, M.Eng., MBA, etc.)",20,Bash/Shell/PowerShell;HTML/CSS;Java;JavaScript;Kotlin;Python;Ruby;Scala;SQL;TypeScript,Data scientist or machine learning specialist,129775,Employed full-time
"Master’s degree (MA, MS, M.Eng., MBA, etc.)",4,HTML/CSS;JavaScript;Python;SQL,Database administrator,76339,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",7,Assembly;Bash/Shell/PowerShell;C;C++;Go;HTML/CSS;Java;Python;SQL,"Developer, back-end",87789,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",3,HTML/CSS;Java;JavaScript;Ruby;Swift;TypeScript,"Developer, full-stack",56490,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",18,Bash/Shell/PowerShell;HTML/CSS;JavaScript;PHP;Python;SQL,"Developer, back-end",95423,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",19,Bash/Shell/PowerShell;C;C++;HTML/CSS;Java;JavaScript;PHP;Python;Ruby,System administrator,76339,Employed full-time
Some college/university study without earning a degree,11,Bash/Shell/PowerShell;C#;Java;Python;SQL;Other(s):,"Developer, QA or test",43513,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",15,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;Python;SQL;TypeScript,"Developer, back-end",70231,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",30,C;HTML/CSS;Java;JavaScript;PHP;Python;SQL;VBA,Data scientist or machine learning specialist,65651,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",30,Bash/Shell/PowerShell;C;C++;C#;HTML/CSS;Java;JavaScript;PHP;TypeScript,"Developer, desktop or enterprise applications",76339,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",20,Bash/Shell/PowerShell;C#;HTML/CSS;Java;JavaScript;Kotlin;Scala;SQL,"Engineer, data",61071,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",13,Go;HTML/CSS;Java;JavaScript;TypeScript,"Developer, full-stack",106874,Employed full-time
Associate degree,7,HTML/CSS;Java;JavaScript;SQL;Other(s):,Product manager,59544,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",6,Bash/Shell/PowerShell;C++;C#;JavaScript;Python,"Developer, QA or test",47330,Employed full-time
Some college/university study without earning a degree,3,HTML/CSS;Java;SQL,Database administrator,68705,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",4,HTML/CSS;JavaScript;Python;SQL,Scientist,61071,Employed full-time
"Master’s degree (MA, MS, M.Eng., MBA, etc.)",3,Bash/Shell/PowerShell;HTML/CSS;JavaScript;PHP;Python;SQL,Data scientist or machine learning specialist,68705,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",11,HTML/CSS;JavaScript;Objective-C;SQL;Swift,"Developer, mobile",83972,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",10,Go;HTML/CSS;Python,"Developer, mobile",68705,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",4,HTML/CSS;JavaScript;Ruby,"Developer, full-stack",94660,Employed full-time
"Master’s degree (MA, MS, M.Eng., MBA, etc.)",5,Bash/Shell/PowerShell;C++;C#;HTML/CSS;JavaScript;Python,Academic researcher,53437,Employed full-time
Some college/university study without earning a degree,3,C#;Go;HTML/CSS;JavaScript;Python;SQL;TypeScript,"Developer, front-end",45803,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",1,Bash/Shell/PowerShell;Go;Java;Python,"Engineer, data",34352,Employed full-time
"Other doctoral degree (Ph.D, Ed.D., etc.)",19,Bash/Shell/PowerShell;C;C++;Go;HTML/CSS;JavaScript,DevOps specialist,209931,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",10,HTML/CSS;JavaScript;Ruby;TypeScript,"Developer, full-stack",83972,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",5,Dart;HTML/CSS;Java;JavaScript;Kotlin;PHP;Scala;SQL;TypeScript,"Developer, front-end",64888,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",23,Bash/Shell/PowerShell;HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,"Developer, full-stack",83972,Employed full-time
Some college/university study without earning a degree,7,Bash/Shell/PowerShell;C++;C#;HTML/CSS;JavaScript;PHP;SQL,"Developer, back-end",45803,Employed full-time
"Master’s degree (MA, MS, M.Eng., MBA, etc.)",7,PHP,"Developer, full-stack",57254,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",10,Java;SQL,"Developer, back-end",107637,Employed full-time
"Professional degree (JD, MD, etc.)",9,Bash/Shell/PowerShell;HTML/CSS;JavaScript;PHP;SQL,Product manager,43513,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",3,C++;C#;JavaScript;Python;SQL,"Developer, back-end",40459,Employed full-time
Associate degree,10,Bash/Shell/PowerShell;C++;C#;HTML/CSS;Java;JavaScript;PHP;SQL;Other(s):,Academic researcher,42000,Employed full-time
NA,5,Bash/Shell/PowerShell;C#;HTML/CSS;Java;JavaScript;SQL;VBA,Data or business analyst,48093,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",33,C#;HTML/CSS;JavaScript;SQL,"Developer, back-end",83972,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",10,HTML/CSS;JavaScript;SQL;TypeScript,"Developer, desktop or enterprise applications",22896,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",8,Bash/Shell/PowerShell;HTML/CSS;Java;Python;SQL,"Developer, QA or test",64888,Employed full-time
Associate degree,1,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;VBA,"Developer, full-stack",35116,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",4,Assembly;C;C++;Java;Python;SQL,Database administrator,55193,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",9,C#;HTML/CSS;JavaScript;SQL;VBA,"Developer, desktop or enterprise applications",54964,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",8,Bash/Shell/PowerShell;HTML/CSS;JavaScript;PHP;SQL,"Developer, full-stack",63361,Employed full-time
Some college/university study without earning a degree,18,C#;HTML/CSS;JavaScript;PHP;SQL;VBA,"Developer, front-end",58369,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",18,Dart;Go;HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,"Developer, front-end",133592,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",22,Bash/Shell/PowerShell;C#;HTML/CSS;Java;JavaScript;PHP;SQL;TypeScript;VBA,"Developer, front-end",80155,Employed full-time
Associate degree,3,Bash/Shell/PowerShell;HTML/CSS;JavaScript;TypeScript,"Developer, full-stack",64888,Employed full-time
Associate degree,4,C#;Java;Swift,"Developer, mobile",38169,Employed full-time
"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",21,Assembly;Bash/Shell/PowerShell;C;C++;C#;Clojure;Elixir;Erlang;Go;HTML/CSS;Java;JavaScript;PHP;Python;Ruby;Scala;SQL;Swift;TypeScript,"Developer, full-stack",91606,Employed full-time
"Master’s degree (MA, MS, M.Eng., MBA, etc.)",7,C#;HTML/CSS;JavaScript;SQL,"Developer, front-end",68705,Employed full-time
Some college/university study without earning a degree,20,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;Python;SQL;Other(s):,DevOps specialist,79392,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",11,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;SQL;TypeScript,"Developer, desktop or enterprise applications",76339,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",1,Bash/Shell/PowerShell;HTML/CSS;Java;JavaScript;Objective-C;SQL,"Developer, front-end",48857,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",18,Bash/Shell/PowerShell;C++;C#,"Developer, back-end",96187,Employed full-time
Some college/university study without earning a degree,11,Bash/Shell/PowerShell;C#;F#;HTML/CSS;JavaScript;SQL;VBA,Data or business analyst,76339,Employed full-time
Associate degree,1,Bash/Shell/PowerShell;Python,System administrator,53437,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",4,Bash/Shell/PowerShell;HTML/CSS;Java;JavaScript;PHP;Python;SQL,Scientist,34352,Employed full-time
Associate degree,5,HTML/CSS;JavaScript;PHP;TypeScript,"Developer, full-stack",30535,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",7,C#;HTML/CSS;JavaScript;PHP;SQL;TypeScript;VBA,"Developer, desktop or enterprise applications",53437,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",4,HTML/CSS;Java;JavaScript;SQL;Other(s):,"Developer, full-stack",57254,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",27,C#;HTML/CSS;JavaScript;SQL,"Developer, front-end",95423,Employed full-time
Associate degree,14,HTML/CSS;Java;JavaScript;SQL;Other(s):,DevOps specialist,62598,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",7,Bash/Shell/PowerShell;HTML/CSS;JavaScript;PHP;Python;SQL,"Engineer, data",96187,Employed full-time
Associate degree,3,Bash/Shell/PowerShell;C;C++;HTML/CSS;Java,"Developer, back-end",54964,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",3,HTML/CSS;JavaScript;Ruby;SQL;TypeScript,"Developer, back-end",57254,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",1,Bash/Shell/PowerShell;C++;Python;SQL,Data or business analyst,68705,Employed full-time
"Other doctoral degree (Ph.D, Ed.D., etc.)",10,Bash/Shell/PowerShell;Java;R;SQL,Database administrator,53437,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",3,Java;R;SQL,"Engineer, data",366420,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",10,Go;HTML/CSS;Python,"Developer, back-end",68705,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",2,C;C++;HTML/CSS;JavaScript;Python;R,"Developer, front-end",44276,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",2,Bash/Shell/PowerShell;C#;HTML/CSS;Java;JavaScript;PHP,"Developer, front-end",53437,Employed full-time
Associate degree,6,HTML/CSS;JavaScript;PHP;SQL,"Developer, back-end",31757,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",1,HTML/CSS;Java;JavaScript;PHP;SQL;Swift,"Developer, back-end",71376,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",3,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;PHP;SQL,System administrator,50388,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",19,Bash/Shell/PowerShell;C;C++;JavaScript,Product manager,133592,Employed full-time
Some college/university study without earning a degree,11,Go;HTML/CSS;JavaScript;PHP;SQL;TypeScript,"Developer, back-end",59544,Employed full-time
"Master’s degree (MA, MS, M.Eng., MBA, etc.)",16,C#;HTML/CSS;TypeScript,"Developer, full-stack",114508,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",13,Go;HTML/CSS;Java;JavaScript;TypeScript,"Developer, desktop or enterprise applications",106874,Employed full-time
"Master’s degree (MA, MS, M.Eng., MBA, etc.)",17,C;C++;HTML/CSS;Java;JavaScript;Kotlin;Objective-C;Python;SQL;TypeScript,"Developer, full-stack",79392,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",8,Assembly;Bash/Shell/PowerShell;C;C++;C#;HTML/CSS;Java;JavaScript;Kotlin;PHP;Python;SQL;TypeScript,"Developer, back-end",80155,Employed full-time
"Master’s degree (MA, MS, M.Eng., MBA, etc.)",19,Bash/Shell/PowerShell;C++;C#;HTML/CSS;PHP;Python,"Developer, game or graphics",175579,Employed full-time
"Master’s degree (MA, MS, M.Eng., MBA, etc.)",7,Bash/Shell/PowerShell;C;Go;HTML/CSS;Java;JavaScript;Objective-C;PHP;Python;SQL;Swift;TypeScript;Other(s):,"Developer, mobile",57254,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",6,Go;HTML/CSS;Java;JavaScript;Kotlin;SQL;TypeScript,"Developer, embedded applications or devices",76339,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",7,HTML/CSS;JavaScript;PHP;SQL;TypeScript,"Developer, desktop or enterprise applications",53437,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",6,Bash/Shell/PowerShell;Go;HTML/CSS;Java;JavaScript;Kotlin;Objective-C;Python;Swift;TypeScript,System administrator,91606,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",6,C#;Elixir;HTML/CSS;JavaScript;TypeScript,Designer,41986,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",15,Bash/Shell/PowerShell;C;C++;C#;Python,"Developer, embedded applications or devices",77865,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",19,C#;HTML/CSS;Java;SQL;VBA,"Developer, back-end",76339,Employed full-time
"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",32,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;SQL;Other(s):,"Developer, embedded applications or devices",114508,Employed full-time
"Other doctoral degree (Ph.D, Ed.D., etc.)",10,Python;Other(s):,"Engineer, data",64888,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",10,Bash/Shell/PowerShell;HTML/CSS;JavaScript;Python;Ruby;TypeScript,"Developer, back-end",99240,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",11,Assembly;C;C++;C#;HTML/CSS;Java;JavaScript;SQL,"Developer, mobile",73285,Employed full-time
Associate degree,5,C#;Java,"Developer, full-stack",55345,Employed full-time
"Master’s degree (MA, MS, M.Eng., MBA, etc.)",3,R;SQL,Data or business analyst,64888,Employed full-time
"Other doctoral degree (Ph.D, Ed.D., etc.)",2,Go;Python,Academic researcher,91606,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",4,Bash/Shell/PowerShell;Go;JavaScript;Ruby;Swift,"Developer, back-end",83972,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",22,Bash/Shell/PowerShell;C#;HTML/CSS;Java;JavaScript;PHP;SQL;TypeScript;VBA,"Developer, full-stack",80155,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",4,Bash/Shell/PowerShell;Go;HTML/CSS;Java;JavaScript;Python;Ruby;Scala;SQL,DevOps specialist,129775,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",10,Bash/Shell/PowerShell;HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript,"Engineer, data",76339,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",20,Bash/Shell/PowerShell;Go;HTML/CSS;Java;JavaScript;Python;Ruby;SQL;TypeScript,"Developer, back-end",76339,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",10,HTML/CSS;Java;JavaScript;PHP;SQL,Database administrator,57254,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",3,Java;R;SQL,Data or business analyst,366420,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",4,Assembly;C;C++;C#;HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,"Developer, full-stack",1250,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",3,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;PHP;SQL,DevOps specialist,50388,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",5,HTML/CSS;JavaScript;Ruby;SQL,Designer,57407,Employed full-time
"Other doctoral degree (Ph.D, Ed.D., etc.)",5,Bash/Shell/PowerShell;C;C++;Python,"Developer, game or graphics",122142,Employed full-time
"Other doctoral degree (Ph.D, Ed.D., etc.)",5,Bash/Shell/PowerShell;HTML/CSS;JavaScript;Python;SQL;TypeScript,Data scientist or machine learning specialist,83972,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",2,Java;Other(s):,"Developer, back-end",43513,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",33,Other(s):,DevOps specialist,142753,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",10,HTML/CSS;JavaScript;SQL;TypeScript,"Developer, mobile",22896,Employed full-time
Some college/university study without earning a degree,22,Assembly;Bash/Shell/PowerShell;C#;Go;HTML/CSS;Java;JavaScript;Kotlin;PHP;Python;Ruby;Scala;SQL;VBA,Engineering manager,110691,Employed full-time
"Master’s degree (MA, MS, M.Eng., MBA, etc.)",25,Bash/Shell/PowerShell;C;C++;HTML/CSS;Java;JavaScript;PHP;Python;Ruby;SQL;TypeScript;VBA,System administrator,99240,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",10,Bash/Shell/PowerShell;C#;Java;Scala,"Developer, game or graphics",114508,Employed full-time
Associate degree,12,C#;JavaScript;SQL;TypeScript,"Developer, full-stack",122142,Employed full-time
NA,5,Bash/Shell/PowerShell;C#;F#;HTML/CSS;JavaScript;PHP;SQL;TypeScript,"Developer, full-stack",87789,Employed full-time
I never completed any formal education,30,Assembly;Bash/Shell/PowerShell;C;C++;HTML/CSS;Java;JavaScript;PHP;Python;Ruby;Scala;SQL,"Developer, embedded applications or devices",122142,Employed full-time
"Professional degree (JD, MD, etc.)",9,Bash/Shell/PowerShell;HTML/CSS;JavaScript;PHP;SQL,"Developer, QA or test",43513,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",29,C++;C#;HTML/CSS;Java;JavaScript;Objective-C;SQL;TypeScript,DevOps specialist,80919,Employed full-time
"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",15,Bash/Shell/PowerShell;Go;HTML/CSS;JavaScript;PHP;Python;Ruby;SQL,System administrator,95423,Employed full-time
Associate degree,4,C#;HTML/CSS;JavaScript;PHP;SQL;VBA,"Developer, full-stack",27500,Employed full-time
Associate degree,2,PHP,"Developer, full-stack",55628,Employed full-time
Associate degree,15,Bash/Shell/PowerShell;C;C++;HTML/CSS;JavaScript;PHP;Python;SQL;Other(s):,"Developer, full-stack",56490,Employed full-time
"Master’s degree (MA, MS, M.Eng., MBA, etc.)",4,C#;HTML/CSS;Java;JavaScript;Python;SQL,"Developer, back-end",45803,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",17,C++;Python;Other(s):,"Developer, back-end",72522,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",5,HTML/CSS;JavaScript;PHP;SQL;TypeScript,"Developer, full-stack",76339,Employed full-time
"Master’s degree (MA, MS, M.Eng., MBA, etc.)",7,C#;HTML/CSS;JavaScript;SQL,"Developer, back-end",68705,Employed full-time
Associate degree,3,C#,"Developer, full-stack",45803,Employed full-time
Some college/university study without earning a degree,24,Bash/Shell/PowerShell;HTML/CSS;JavaScript;Ruby;SQL;TypeScript,"Developer, back-end",83972,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",15,Bash/Shell/PowerShell;Go;HTML/CSS;Java;JavaScript;PHP;Python;Ruby;SQL,"Engineer, site reliability",76339,Employed full-time
Some college/university study without earning a degree,20,Bash/Shell/PowerShell;C;Go;Java;Ruby,System administrator,160311,Employed full-time
Associate degree,8,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;Python;SQL;TypeScript,System administrator,61071,Employed full-time
I never completed any formal education,13,HTML/CSS;JavaScript,Database administrator,80155,Employed full-time
Some college/university study without earning a degree,22,Assembly;Bash/Shell/PowerShell;C#;Go;HTML/CSS;Java;JavaScript;Kotlin;PHP;Python;Ruby;Scala;SQL;VBA,"Developer, full-stack",110691,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",3,C++;Dart;HTML/CSS;JavaScript;SQL,Designer,45803,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",3,Bash/Shell/PowerShell;HTML/CSS;JavaScript;PHP;SQL;Swift,Designer,53437,Employed full-time
Some college/university study without earning a degree,10,Bash/Shell/PowerShell;C;C#;Go;HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,Data or business analyst,49620,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",25,Bash/Shell/PowerShell;Elixir;Go;JavaScript;Ruby;SQL,"Developer, back-end",103057,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",30,C;HTML/CSS;Java;JavaScript;PHP;Python;SQL;VBA,"Developer, back-end",65651,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",9,Bash/Shell/PowerShell;HTML/CSS;JavaScript;SQL;TypeScript,"Developer, full-stack",83972,Employed full-time
NA,3,Bash/Shell/PowerShell;HTML/CSS;Java;JavaScript;SQL;TypeScript,DevOps specialist,61071,Employed full-time
Associate degree,6,C#;HTML/CSS;JavaScript;PHP;SQL,"Developer, front-end",31600,Employed full-time
Associate degree,22,Go;Objective-C;Python;SQL,"Developer, back-end",198480,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",14,Java;JavaScript;SQL,"Developer, full-stack",133592,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",6,Bash/Shell/PowerShell;HTML/CSS;Java;JavaScript;Python;SQL,"Developer, back-end",67178,Employed full-time
Primary/elementary school,25,Assembly;Bash/Shell/PowerShell;C;C++;C#;JavaScript;Objective-C;PHP;Python;Swift,"Developer, full-stack",76339,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",15,C#;JavaScript;SQL;VBA,"Developer, full-stack",68705,Employed full-time
Some college/university study without earning a degree,32,C++;C#;HTML/CSS;JavaScript,DevOps specialist,110691,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",15,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;Python;SQL;TypeScript,"Developer, desktop or enterprise applications",70231,Employed full-time
Primary/elementary school,13,Go;HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript,"Developer, front-end",76339,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",2,Bash/Shell/PowerShell;C;C#;HTML/CSS;Java;JavaScript;PHP;Python;Ruby;SQL,"Developer, full-stack",57254,Employed full-time
NA,3,Bash/Shell/PowerShell;C#;HTML/CSS;Java;JavaScript;PHP;SQL;TypeScript,"Developer, QA or test",38169,Employed full-time
"Master’s degree (MA, MS, M.Eng., MBA, etc.)",20,C;C++;Python;Rust,"Developer, back-end",114508,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",5,Bash/Shell/PowerShell;C;C++;C#;HTML/CSS;JavaScript;Python;SQL,Database administrator,53437,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",37,Bash/Shell/PowerShell;Clojure;Dart;Elixir;Go;HTML/CSS;Java;JavaScript;Kotlin;Python;SQL;TypeScript;Other(s):,System administrator,172,Employed full-time
Associate degree,14,C#;JavaScript;SQL,"Developer, front-end",57254,Employed full-time
